STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Fréquence d'observation,TERRITORIAL_LEVEL,Niveau territorial,REF_AREA,Zone de référence,TERRITORIAL_TYPE,Typologie territoriale,MEASURE,Mesure,AGE,Âge,SEX,Sexe,UNIT_MEASURE,Unité de mesure,TIME_PERIOD,Période temporelle,OBS_VALUE,Valeur d'observation,COUNTRY,Pays,OBS_STATUS,Statut d'observation,UNIT_MULT,Multiplicateur d'unité,DECIMALS,Décimales
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),PL22,Silésie,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,41.7,,POL,Pologne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),CH01,Région lémanique,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,17.9,,CHE,Suisse,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),SE23,Ouest de la Suède,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,11.2,,SWE,Suède,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),DED,Saxe,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,22.5,,DEU,Allemagne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),FI1B,Helsinki-Uusimaa,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,10.4,,FIN,Finlande,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),CA13,Nouveau-Brunswick,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,7,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),CL14,Los Ríos,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,38.2,,CHL,Chili,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),FI1D,Nord et Est de la Finlande,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,7.1,,FIN,Finlande,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ES42,Castille-La Mancha,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,13.7,,ESP,Espagne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ES70,Îles Canaries,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,9,,ESP,Espagne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),DE3,Berlin,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,27.7,,DEU,Allemagne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),NO06,Trøndelag,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,7.8,,NOR,Norvège,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ES63,Ceuta,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,16.7,,ESP,Espagne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),FRL,Provence-Alpes-Côte d’Azur,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,18.4,,FRA,France,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),PL92,Mazowiecki region,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,29.1,,POL,Pologne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),TR32,Région égéenne méridionale,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,25.5,,TUR,Türkiye,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),NL12,Frise,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,18.2,,NLD,Pays-Bas,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),TR52,Anatolie centrale - Ouest et Sud,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,22.3,,TUR,Türkiye,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),TR10,Istanbul,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,23,,TUR,Türkiye,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),DK02,Zélande,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,15.7,,DNK,Danemark,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),LT01,Région de Vilnius,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,22.7,,LTU,Lituanie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),NZ16,Hawke's Bay,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,6.8,,NZL,Nouvelle-Zélande,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),PT11,Région Nord,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,13.6,,PRT,Portugal,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),EL63,Grèce occidentale,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,21.5,,GRC,Grèce,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ES24,Aragon,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,14.3,,ESP,Espagne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ES12,Asturies,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,17.6,,ESP,Espagne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),CA12,Nouvelle-Écosse,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,7.2,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),CR06,North Huetar,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,21,,CRI,Costa Rica,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),AU7,Territoire du Nord,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,8.4,,AUS,Australie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ITF2,Molise,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,16.5,,ITA,Italie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),LT02,Région de la Lituanie centrale et occidentale,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,20.6,,LTU,Lituanie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),FI19,Finlande occidentale,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,8.2,,FIN,Finlande,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ES51,Catalogne,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,20.5,,ESP,Espagne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ES62,Murcie,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,16.5,,ESP,Espagne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),NZ12,Auckland,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,6.6,,NZL,Nouvelle-Zélande,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),FRB,Centre-Val de Loire,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,15.2,,FRA,France,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),SE12,Région Centre Est,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,9.2,,SWE,Suède,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),FRG,Pays de la Loire,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,13.3,,FRA,France,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),BG32,Nord-Central,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,25,,BGR,Bulgarie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),TRC3,Anatolie méridionale - Est,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,27,,TUR,Türkiye,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ITF3,Campanie,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,20,,ITA,Italie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),CA60,Yukon,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,5.5,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),ES11,Galice,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,13.5,,ESP,Espagne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),TR31,Izmir,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,19.1,,TUR,Türkiye,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),CA11,Île-du-Prince-Édouard,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,5.9,,CAN,Canada,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),EL42,Sud de l'Égée,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,15.2,,GRC,Grèce,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),EL65,Péloponnèse,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,19.9,,GRC,Grèce,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),NL22,Gueldre,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,22.4,,NLD,Pays-Bas,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),NL41,Brabant-du-Nord,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,22,,NLD,Pays-Bas,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),PL72,Sainte-Croix,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,30.7,,POL,Pologne,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),RO11,Nord-Ouest,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,22.2,,ROU,Roumanie,A,Normal value,0,Units,1,One
DATAFLOW,OECD.CFE.EDS:DSD_REG_HEALTH@DF_RISK(2.0),Risques sur la santé,I,A,Annuelle,TL2,Grande région (TL2),UKH,Angleterre de l'Est,_Z,N'est pas applicable,PM25_POP_EXP,"Exposition de la population aux PM2,5",_Z,Non applicable,_Z,Non applicable,MCG_M3,Microgrammes par mètre cube,1995,,18.4,,GBR,Royaume-Uni,A,Normal value,0,Units,1,One
